100;294;0.077
200;614;0.165
300;903;0.271
400;1252;0.383
500;1541;0.488
600;1934;0.637
700;2390;0.763
800;2699;0.857
900;3090;0.973
1000;3313;1.105
1100;3781;1.247
1200;4215;1.382
1300;4727;1.517
1400;5153;1.742
1500;5501;1.838
1600;5913;1.986
1700;6282;2.077
1800;6634;2.190
1900;6932;2.300
2000;7212;2.402
2100;7790;2.704
2200;8315;2.807
2300;8854;2.899
2400;9437;3.034
2500;9918;3.211
2600;10364;3.344
2700;10765;3.491
2800;11144;3.636
2900;11582;3.759
3000;11978;3.865
