100;1682;0.213
200;4021;0.510
300;4270;0.578
400;5950;0.817
500;7315;1.104
600;8754;1.231
700;9980;1.424
800;11674;1.669
900;12931;1.847
1000;14095;2.052
1100;17560;2.567
1200;18862;2.906
1300;19824;2.897
1400;21975;3.243
1500;24561;3.600
1600;25976;3.776
1700;27211;3.929
1800;31656;4.549
1900;30826;4.502
2000;36390;5.284
2100;35806;5.184
2200;38526;5.714
2300;40736;5.892
2400;42867;6.319
2500;44481;6.442
2600;47263;6.736
2700;50173;7.186
2800;53627;7.684
2900;54472;7.760
3000;56502;8.141
